id,municode,name,displayName,type,lat,long,cog,region
420030405001,,Central Oakland,Central Oakland,neighborhood,40.4406805,-79.9542332,,
420030404001,,North Oakland,North Oakland,neighborhood,40.4458408,-79.9483932,,
420030402002,,West Oakland,West Oakland,neighborhood,40.4412437,-79.9626107,,
420030305002,,Crawford-Roberts,Crawford-Roberts,neighborhood,40.4403871,-79.9813476,,
420030203001,,Strip District,Strip District,neighborhood,40.4544996,-79.9812762,,
420030201004,,Central Business District,Central Business District,neighborhood,40.4406777,-79.9892121,,
420032620001,,Spring Hill-City View,Spring Hill-City View,neighborhood,40.4632158,-79.994168,,
420032615001,,Perry South,Perry South,neighborhood,40.4733966,-80.0097343,,
420032612001,,Summer Hill,Summer Hill,neighborhood,40.4922173,-80.0081121,,
420032609001,,Northview Heights,Northview Heights,neighborhood,40.4776383,-80.0025945,,
420035631002,,Westwood,Westwood,neighborhood,40.43201,-80.0530374,,
420035624005,,Beltzhoover,Beltzhoover,neighborhood,40.419736,-79.9991617,,
420039810001,,Central Lawrenceville,Central Lawrenceville,neighborhood,40.4730821,-79.9488759,,
420031702001,,South Side Flats,South Side Flats,neighborhood,40.4302576,-79.9922422,,
420031803003,,Allentown,Allentown,neighborhood,40.4191918,-79.9927314,,
420031706001,,South Side Slopes,South Side Slopes,neighborhood,40.4249025,-79.9876098,,
420030103002,,Bluff,Bluff,neighborhood,40.4369004,-79.9903987,,
420032509002,,Fineview,Fineview,neighborhood,40.464157,-80.0039415,,
420035629001,,Hazelwood,Hazelwood,neighborhood,40.4096285,-79.9486102,,
420039800001,,Lincoln-Lemington-Belmar,Lincoln-Lemington-Belmar,neighborhood,40.487579,-79.8907469,,
420031306001,,East Hills,East Hills,neighborhood,40.4521925,-79.8817225,,
420030409003,,South Oakland,South Oakland,neighborhood,40.4308074,-79.9518013,,
420031807002,,Mount Washington,Mount Washington,neighborhood,40.4247086,-80.0011285,,
420031517004,,Greenfield,Greenfield,neighborhood,40.4216327,-79.9353993,,
420031414003,,Squirrel Hill South,Squirrel Hill South,neighborhood,40.4266034,-79.9185733,,
420032503001,,Central Northside,Central Northside,neighborhood,40.4584905,-80.0120067,,
420032412002,,Spring Garden,Spring Garden,neighborhood,40.4600565,-79.9915198,,
420032406002,,Troy Hill,Troy Hill,neighborhood,40.4611811,-79.9859947,,
420035632003,,East Allegheny,East Allegheny,neighborhood,40.4572599,-79.9976543,,
420031018002,,Stanton Heights,Stanton Heights,neighborhood,40.4847864,-79.9385823,,
420030603001,,Lower Lawrenceville,Lower Lawrenceville,neighborhood,40.4621267,-79.9609234,,
420030802002,,Bloomfield,Bloomfield,neighborhood,40.4617308,-79.9522528,,
420032904003,,Carrick,Carrick,neighborhood,40.384419,-79.9867635,,
420039811001,,Point Breeze,Point Breeze,neighborhood,40.4420424,-79.906331,,
420031911002,,Duquesne Heights,Duquesne Heights,neighborhood,40.4386014,-80.0260996,,
420031411001,,Swisshelm Park,Swisshelm Park,neighborhood,40.4196414,-79.9075532,,
420031102001,,Highland Park,Highland Park,neighborhood,40.4780209,-79.9195862,,
420031017002,,Garfield,Garfield,neighborhood,40.4672423,-79.94337,,
420032107002,,Manchester,Manchester,neighborhood,40.4578695,-80.0264589,,
420031011003,,Upper Lawrenceville,Upper Lawrenceville,neighborhood,40.4818107,-79.9477736,,
420031916003,,Beechview,Beechview,neighborhood,40.4126628,-80.0211465,,
420031917001,,Brookline,Brookline,neighborhood,40.4043578,-80.0109294,,
420031014004,,Morningside,Morningside,neighborhood,40.4799173,-79.9300799,,
420031204001,,Larimer,Larimer,neighborhood,40.4633748,-79.9087841,,
420035632001,,North Shore,North Shore,neighborhood,40.449658,-79.9981098,,
420035624001,,Bon Air,Bon Air,neighborhood,40.407725,-80.0012233,,
420032023004,,Banksville,Banksville,neighborhood,40.4127817,-80.0357088,,
420035630002,,Windgap,Windgap,neighborhood,40.4597668,-80.07783,,
420030807002,,Friendship,Friendship,neighborhood,40.4592964,-79.9351049,,
420035616002,,Arlington,Arlington,neighborhood,40.4138332,-79.96327,,
420035617001,,St. Clair,St. Clair,neighborhood,40.4088032,-79.9721874,,
420035617002,,Mt. Oliver,Mt. Oliver,neighborhood,40.410874,-79.9793742,,
420032022003,,Sheraden,Sheraden,neighborhood,40.4580322,-80.0647449,,
420039807001,,South Shore,South Shore,neighborhood,40.4366295,-80.0102703,,
420035627001,,Allegheny West,Allegheny West,neighborhood,40.4507843,-80.0144032,,
420035626002,,Elliott,Elliott,neighborhood,40.4400199,-80.0409711,,
420030709002,,Shadyside,Shadyside,neighborhood,40.4510923,-79.9473004,,
420033001005,,Knoxville,Knoxville,neighborhood,40.4109357,-79.9931744,,
420035627002,,Allegheny Center,Allegheny Center,neighborhood,40.4515765,-80.0053403,,
420032708003,,Brighton Heights,Brighton Heights,neighborhood,40.4865869,-80.0297229,,
420032814001,,Crafton Heights,Crafton Heights,neighborhood,40.449631,-80.0569283,,
420030605002,,Polish Hill,Polish Hill,neighborhood,40.458604,-79.9613007,,
420039806001,,Chateau,Chateau,neighborhood,40.4518148,-80.0280506,,
420035616001,,Arlington Heights,Arlington Heights,neighborhood,40.41688,-79.9615214,,
420031401003,,Squirrel Hill North,Squirrel Hill North,neighborhood,40.4427301,-79.9435821,,
420030511001,,Terrace Village,Terrace Village,neighborhood,40.4416579,-79.9764621,,
